2015,2016,2017,2018,2019
Baggi,Alison Wonderland,4b,Adam Auburn,12th Planet
Carnage,Baggi,Bassrush Experience,Afrojack,Alesso
Discovery Project,BASSRUSH Experience,Borgore,Alison Wonderland,ATLiens
DJ Snake,Carnage,Born Dirty,Andrew Rayel,Bassrush
Flux Pavilion,Cookie Monsta b2b Funtcase,BROHUG,Camelphat,Blunts N Blondes
Kaskade,Cyantific b2b Insideinfo b2b Mob Tactics,Conrank,CID,Borgore
Mercer,Delta Heavy,Datsik,Dillon Francis,The Chainsmokers
Pierce Fulton,Discovery Project,Deadmau5,Dion Timmer,Chris Lorenzo
Yellow Claw,DJ Snake,Devault,Friction,CID
Alison Wonderland,Eptic b2b Habstrakt,Dieselboy,GG Magree,Codes
Discovery Project,Fallen + MC Dino,Dimension,Graves,David Steven
Oliver Heldens,Flux Pavilion,Diplo,Lisbona Sisters,Discovery Project
Rustie(?),HI-LO,Discovery Project,Loud Luxury,Dombresky
Sleepy Tom,Kaskade,DJ Mustard,Loudpvck,Dr Fresch
TJR,Mercer,Dombresky,Omnom,Elephante
Trippy Turtle,Metrik b2b TC,ETC!ETC! B2b JSJTR,Party Favor,Eliminate
What So Not,Minnesota b2b G Jones,Flosstradamus,The Prototypes,ETC!ETC!
Cookie Monsta b2b Funtcase,Nightstalker,Flux Pavilion,RL Grime,Franklyn Watts b2b Steady Rock
Cyantific b2b Mob Tactics b2b Inside Info,Pierce Fulton,Funtcase,Sage Armstrong b2b Bruno Furlan,Galantis
Delta Heavy,Sleepy Tom,G Jones,Shiba San,Gentlemens Club
Eptic b2b Habstrakt,TJR,Infekt,Shlump,Gryffin (DJ Set)
Fallen,Trippy Turtle,JAI wolf,Snails,Insomniac Records
Megalodon b2b Truth,Truth b2b Megalodon,Jauz b2b Zeds Dead,Solardo,Jai Wolf (DJ Set)
Metrik b2b TC,What So Not,Joyryde,Tiesto,JSTJTR
Minnesota b2b G Jones,Yellow Claw,Kai Wachi,Xie,Lost Kings
Nightstalker,,Kasra b2b Ivy Lab b2b Emperor,Yultron,Luke Andy
,,Kayoh,Zedd,Metric b2b Tk
,,MC Dino,Zeke Beats b2b Champagne Drip,Nitti Gritti
,,Melvv,Zomboy,Noizu
,,Mercer,,Oliver Heldens
,,Monxx B2B Pogman,,Porter Robinson (DJ Set)
,,Noisia,,Raiser
,,Parker,,Richter b2b Fallen x MC Dino
,,Porter Robinson,,Said the Sky
,,Shiba San,,Saymyname
,,Spag Heddy,,Svdden Death Presents Voyd
,,Two Owls,,Tisoki
,,W&W,,Tom & Collins
,,What So Not,,VNSSA
,,Wongo,,
,,Yellow Claw,,
