2015,2016,2017,2018,2019
12th Planet,12th Planet,AAZAR,12th Planet b2b Kill The Noise,13
3LAU,219 Boys,Above & Beyond,4B,4B
4B,4B,Ace Ventura,A-Trak,A.M.C + TURNO
A-lusion,50 Carrot b2b Coffi,Adam Beyer Presents Drumcode,AC Slater,A$AP ROCKY
Aaron Jackson,b2b Soloman,Afrojack,ADIN,ABOVE & BEYOND
Above & Beyond,A-Trak,Alan Fitzpatrick,Adrenalize,ADAM BEYER PRESENTS DRUMCODE
AC Slater,Above & Beyond,Alan Walker,Adriatique,ADARO
Adrenalize,Ace Ventura,Alesso,AFK b2b SVDDEN DEATH,ADIN
Adventure Club,Adam Beyer,Alison Wonderland,Afrojack,ADRENALIZE
Afrojack,presents Drumcode,Aly & Fila,Alan Walker,ADVENTURE CLUB
Alesso,Adaro,Andrew Luce,Alpha 9,ALAN FITZPATRICK
Alex Kidd,Adrenalize,Andrew Rayel,Andrew Bayer,ALESSO
Alison Wonderland,Adventure Club,Andy C,Andy C,ALISON WONDERLAND
Aly & Fila,Afrojack,ANGELZ,Angerfist,ALY & FILA
Amine Edge & DANCE,Alan Fitzpatrick,Angerfist,Animato,AMELIE LENS
Andrew Rayel,Alesso,Armani Reign,AniMe b2b Mad Dog,ANDREW BAYER
Andy C,Alison Wonderland,Armin van Buuren,Arkham Knights,ANDREW RAYEL
Angerfist,Aly & Fila,Astrix,Armin Van Buuren,ANDY C
Armanni Reign,Amtrac,Astronomar,Astrix,ANGERFIST
Armin van Buuren,Andy C,ATB,ATB,ANNA
Art Department,Anevo,ATICA,Atmozfears,ARKHAM KNIGHTS
Arty,Angerfist,Atmozfears,Avalon,ARMIN VAN BUUREN
Astrix,Anna Lunoe,Audien b2b 3LAU,Big Wild,ARMNHMR
ATB,Armand Van Helden,Audiofreq,BIJOU,ARTBAT
Audien,Armanni Reign,Autograf,The Binches,ATMOZFEARS
Audiotricz,Armin van Buuren,Axwell ^ Ingrosso,Black Tiger Sex Machine,ATTLAS B2B RHETT
Avicii,Aryay,Baggi,BlackGummy,AUDIEN
AWE,Astrix,Barely Alive,Blankface b2b Maze b2b BloodThinnerz b2b Definitive,BADKLAAT
Baggi Begovic,Astronomar,Ben Nicky,Blastoyz,BARELY ALIVE B2B PHASEONE
Bassnectar,Audio b2b Teddy Killerz,Bijou,Boogie T b2b Squnto,BASS MODULATORS
Benny Benassi,Audiofreq,Billy Kenny,Borgeous,BENDA
Bingo Players,Audiotistic Stage,Bix King,Borgore,BIJOU
Bixel Boys,Audiotricz,Black Sun Empire,Born Dirty,BILL NYE (OPENING CEREMONY)
