2015,2016,2017,2018,2019
The String Cheese ,The String Cheese Incident (3 shows),12th Planet,!!!,12th Planet
Incident (3 shows),Adventure Club,Andy Hall,A Tribe Called Red,Aaron Hale
Bassnectar,Baauer,A-Trak,Aidan Sokol,Adam Frek
Skrillex,Beats Antique,Autograf,Air Credits,Aidan Sokol
Kaskade,Bonobo (DJ set),Bassnectar,Alluxe,Aima the Dreamer & Erica Dee
Flume,Duke Dumont,Big Gigantic,Andy Frasco & The UN,Alex Kislov
Big Gigantic,Flosstradamus,Big Wild,Andy P,Alfiya Glow
Break Science,Gorgon City (live),Bill Nershi & Keith Moseley,Anna Lunoe,Alison Wonderland
Carl Cox  ,Greensky Bluegrass,Bluegrass Generals,Attlas,Ambar Lucid
Carnage,GRiZ,Bob Moses,Aqueous,Amtrac
Claude VonStroke,Nahko and Medicine for the People,Brazilian Girls,Bassnectar,Andrea Gibson
Datsik,Porter Robinson (live),Breakbot,Beau Young Prince,Andy P
Edward Sharpe and ,STS9,CBDB,Betty Who,Anomalie
the Magnetic Zeros,Tchami,Chris Lake,Big Something,Arvi Malaa
Electron,The Disco Biscuits,Claude VonStroke,Bishop Briggs,Ayla Nereo
EOTO,Frameworks,Cobi,Boogie T,Ayokay
Flux Pavilion,Fury + MC Dino,Con Brio,Boogie T.rio(live band),BadKlaat
G­Eazy  ,Furture Rock,Consider the Source,Boombox Cartel,BASSNECTAR
Galactic with Macy ,G Jones,Crywolf,Bonobo Live Band,BAYNK
Gray,Gallant,Dillon Francis,Buku,Balkan Bump
Gramatik,Grandtheft,Dirty Audio,Camelphat,Ben Spellman - Yoga
Green Velvet,Louis The Child,Dixon's Violin,Calyx &Teebee,Black Tiger Sex Machine
Joe Russo's Almost ,Low Steppa,DJ EZ,Cassian,Bob Moses
Dead,MAGIC GIANT,Echos,Chalk Dinosaur,Boombox
John Digweed,Manic Focus,Ekali,Charlesthefirst,Born Dirty
Lettuce,Marian Hill,EOTO,Cherub,"Brandon ""TAZ' Niederauer"
Lindsey Stirling,Mark Farina,Fakear,Chris Lake,Brownie (DJ Set) - Marc Brownstein
Lotus,Metrik,FKJ,Chromeo,CVBZ
Odesza,Mija,Francis and the Lights,Clapback,Cas Haley
Paul Oakenfold,Mike Dunn,Ganja White Night,Claptone,Caspa
Phantogram,Miner,Giraffage,Clozee,Cautious Clay
